review,sentiment,movie,baseline_pred,match
A decent watch if you have nothing else to do. It's pretty average.,Neutral,Parallel Dimensions,Neutral,True
"Not terrible, not great. Just a forgettable movie.",Neutral,Galactic Drifters,Neutral,True
"A solid performance from the cast, but the story itself felt a bit uninspired. It's worth watching if you're a fan of the genre, but don't expect anything revolutionary.",Neutral,Steel Resolve,Positive,False
I found this to be oddly compelling although it wasn't particularly exciting. Worth a watch if you have some time to kill.,Neutral,Concrete Dreams,Positive,False
"It was a decent movie, but nothing special. I probably won't remember it in a week.",Neutral,Suburban Secrets,Neutral,True
"It's okay. The story is nothing revolutionary, but it's competently made and entertaining enough.",Neutral,The Crimson Horizon,Neutral,True
"It was okay. I wasn't blown away, but I wasn't bored either. A solid 6/10.",Neutral,Renegade Riders,Neutral,True
"It's a movie. There's nothing special about it, and nothing particularly bad about it either. Forgetable.",Neutral,Golden Cascade,Positive,False
"It was a forgettable romantic comedy. Nothing special, but it was watchable.",Neutral,Accidental Lovers,Neutral,True
"Visually stunning, but ultimately shallow. The story is lacking substance, and the characters are underdeveloped. Pretty to look at, but not much else.",Neutral,Aurora's Ascent,Neutral,True
"It was okay. Some moments were good, others not so much. A fairly average movie.",Neutral,The Mediocre Man,Neutral,True
"A decent movie to watch on a rainy day. Nothing special, but not terrible either.",Neutral,The Average Adventure,Neutral,True
"Perfectly serviceable. I don't think anyone will be talking about it in a year, but it will entertain you for a couple of hours.",Neutral,Midnight Bloom,Positive,False
"The movie was technically sound, but lacked any emotional resonance. I didn't connect with any of the characters.",Neutral,Quantum Shift,Positive,False
I found it to be just okay. Nothing special about it,Neutral,Forgotten Dreams,Neutral,True
"It was okay. Nothing special, but not terrible either. A decent way to kill a couple of hours.",Neutral,Average Joe,Neutral,True
"The story was predictable, but the action sequences were entertaining enough. A decent popcorn flick.",Neutral,Explosion Extravaganza,Neutral,True
"It was okay. Some scenes were well done, but overall, it felt generic and predictable.",Neutral,Steel Frontier,Neutral,True
"It was an average movie. Not great, but not terrible either. Perfectly watchable.",Neutral,The Gray Zone,Neutral,True
"It's not great, but it's not terrible either. You might enjoy it if you're looking for something mindless to watch.",Neutral,Background Noise,Neutral,True
"It's a middle-of-the-road film. You probably won't regret watching it, but you won't be raving about it either.",Neutral,The In-Between,Neutral,True
"It was okay. Some parts were good, some parts were not. It just exists.",Neutral,Bland Adventures,Neutral,True
"A perfectly acceptable movie. I didn't love it, I didn't hate it. It was a decent way to spend a couple of hours.",Neutral,The Crimson Horizon,Positive,False
"Visually impressive, but ultimately empty. It felt like style over substance.",Neutral,Silent Whispers,Neutral,True
"It's a decent movie to kill some time, but don't expect anything groundbreaking.",Neutral,The Daily Grind,Positive,False
"It's an okay film. Not great, not terrible.",Neutral,Suburban Dreams,Neutral,True
"Fascinating concept but the film fails to explore it in a meaningful way. Decent, I suppose.",Neutral,Robotic Age,Neutral,True
It was alright. I neither loved it nor hated it.,Neutral,The Last Frontier,Positive,False
"A decent movie, but nothing special. It's entertaining enough, but don't expect anything groundbreaking.",Neutral,The Last Stand,Positive,False
"It's a movie. It's not terrible, but equally not amazing. Watchable if nothing else is on.",Neutral,Distant Thunder,Positive,False
"It's an okay watch. Good for a flight maybe. Nothing special, but it's not terrible. Just... there.",Neutral,The Forgotten Isle,Neutral,True
"It was alright. The acting was decent, and the plot was predictable but not terrible. Watchable, but not memorable.",Neutral,The Ironclad Pact,Neutral,True
